ID;N° do Pedido;N° do Pedido na Loja Virtual;Data;ID contato;Nome do contato;Cpf/Cnpj;Endereco;Bairro;Município;Cep;Estado;E-mail;Telefone;Desconto pedido;Frete;Observações;Situação;ID produto;Descrição;Quantidade;Valor unitário;Desconto item;Preço de Custo;Preço Total;Código do contato;Código do produto;Frete proporcional;Desconto proporcional;Vendedor;Nº da NFe;Natureza da NFe;Situação da NFe;Última ocorrência;Outras despesas;Outras despesas proporcional;Loja virtual;Custo total;Fornecedor;Margem;"""Lucro""";Modelo;Categoria;Medida;Tecido;Canal;Forma de pagamento;Parcelado?;Parcelado em quantas vezes;Pronto entrega ou encomenda?;;
24739151181;13627;;03/01/2026;16705235667;CLIENTE OCULTO 11;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15886710915;Taca Vinho Branco Fulica 300 ml;4;R$ 17,49;R$ 30,00;R$ 8,75;R$ 78,36;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 34,98;Oculto;50%;R$ 34,98;Decoração Geral;Produto categoria F;;;;Cartão de Débito Mastercard - Safrapay;À vista;À vista;Pronta-Entrega;;
24739203561;13628;;03/01/2026;17875435018;CLIENTE OCULTO 12;;;;;;;;;R$ 0,50;R$ 0,00;;Decoração;16189932179;Manta Sofa Mahuma Terracotta 1,2X1,45M;2;R$ 129,99;R$ 0,00;R$ 65,00;R$ 291,18;;;R$ 0,00;R$ 129,99;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 129,99;Oculto;50%;R$ 129,99;Decoração Geral;Produto categoria F;1,20;;;SAFRAPAY Credito VISA 1x;Parcelado;1x;Pronta-Entrega;;
24739482753;13629;;03/01/2026;17875535333;CLIENTE OCULTO 13;;;Bela Vista;São Paulo;;SP;;;R$ 0,00;R$ 100,00;;Logística;16585397061;SOFÁ IDEALE - 2,70;1;R$ 7.990,00;R$ 1,36;R$ 3.531,60;R$ 8.948,80;;;R$ 94,00;R$ 0,00;Vendedor oculto 9;;;;06/01/2026;0;0;Loja oculta 3;R$ 3.531,60;Oculto;56%;R$ 4.458,40;Sofa Ideale;Produto categoria A;2,70;;;SAFRAPAY Credito MASTERCARD 1x;Parcelado;1x;Pronta-Entrega;;
24739482753;13629;;03/01/2026;17875535333;CLIENTE OCULTO 14;;;Bela Vista;São Paulo;;SP;;;R$ 0,00;R$ 100,00;;Logística;16517870498;Impermeabilização;1;R$ 510,00;R$ 49,00;R$ 0,00;R$ 571,20;;;R$ 6,00;R$ 0,00;Vendedor oculto 9;;;;06/01/2026;0;0;Loja oculta 3;R$ 0,00;Oculto;100%;R$ 510,00;Impermeabilização Para Venda;Serviço Categoria A;;;;SAFRAPAY Credito MASTERCARD 1x;Parcelado;1x;;;
24742363633;13630;;04/01/2026;16514141653;CLIENTE OCULTO 15;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;16222909473;Cachepot Favela Azul  G;2;R$ 14,99;R$ 57,16;R$ 7,50;R$ 33,58;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 14,99;Oculto;50%;R$ 14,99;Decoração Geral;Produto categoria F;;;;Cartão de Débito Visa - Safrapay;À vista;À vista;;;
24742363633;13630;;04/01/2026;16514141653;CLIENTE OCULTO 16;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15885436837;Bandeja Redonda Em Metal  Com Espelho Cobre G;1;R$ 69,99;R$ 30,00;R$ 35,00;R$ 78,39;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 35,00;Oculto;50%;R$ 35,00;Decoração Geral;Produto categoria F;;;;Cartão de Débito Visa - Safrapay;À vista;À vista;Pronta-Entrega;;
24742363633;13630;;04/01/2026;16514141653;CLIENTE OCULTO 17;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;16222906313;Cachepot Favela Mostarda M;1;R$ 7,00;R$ 71,99;R$ 3,50;R$ 7,84;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 3,50;Oculto;50%;R$ 3,50;Decoração Geral;Produto categoria F;;;;Cartão de Débito Visa - Safrapay;À vista;À vista;Pronta-Entrega;;
24742363633;13630;;04/01/2026;16514141653;CLIENTE OCULTO 18;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;16243245221;Cachepot Em Cimento;1;R$ 55,00;R$ 50,00;R$ 27,50;R$ 61,60;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 27,50;Oculto;50%;R$ 27,50;Decoração Geral;Produto categoria F;;;;Cartão de Débito Visa - Safrapay;À vista;À vista;Pronta-Entrega;;
24742363633;13630;;04/01/2026;16514141653;CLIENTE OCULTO 19;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;13324800956;Cachepot Em Granilite P;1;R$ 25,00;R$ 50,00;R$ 12,50;R$ 28,00;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 12,50;Oculto;50%;R$ 12,50;Decoração Geral;Produto categoria F;;;;Cartão de Débito Visa - Safrapay;À vista;À vista;Pronta-Entrega;;
24743066026;13631;;04/01/2026;16276488583;CLIENTE OCULTO 20;;;Perdizes;São Paulo;;SP;;;R$ 0,00;R$ 160,00;;Logística;16585642974;Encomenda sofá   Qatar medida 1.60 tecido T.G 8059 pés de madeira;1;R$ 2.215,26;R$ 7,00;R$ 0,00;R$ 2.481,09;;;R$ 160,00;R$ 0,00;Vendedor oculto 10;;;;23/01/2026;0;0;Loja oculta 3;R$ 0,00;Oculto;100%;R$ 2.215,26;Sofa Qatar;Produto categoria A;1,60;8059;;Cartão de Débito Visa - Safrapay;À vista;À vista;Pronta-Entrega;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 21;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;13326167131;Xícara De Chá Porcelana Terrazo 200ml;6;R$ 11,50;R$ 50,00;R$ 5,75;R$ 77,28;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 34,50;Oculto;50%;R$ 34,50;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 22;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15813732708;Xicara Cafezinho Com Pires Porcelana Raizes 75ml;6;R$ 13,50;R$ 50,00;R$ 6,75;R$ 90,72;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 40,50;Oculto;50%;R$ 40,50;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 23;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;16009262641;Saladeira Melamina Aqua Vermelho 24x12cm;1;R$ 27,99;R$ 30,00;R$ 14,00;R$ 31,35;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 14,00;Oculto;50%;R$ 14,00;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 24;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15852708746;Caneca Textura Winter 360ml CZ;2;R$ 14,00;R$ 50,00;R$ 7,00;R$ 31,36;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 14,00;Oculto;50%;R$ 14,00;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 25;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15882258018;Caneca Winter Vinho 360ml;2;R$ 14,00;R$ 50,00;R$ 7,00;R$ 31,36;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 14,00;Oculto;50%;R$ 14,00;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 26;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15852683431;Bowl Porcelana Textura Winter Cinza 540ml;1;R$ 17,50;R$ 50,00;R$ 8,75;R$ 19,60;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 8,75;Oculto;50%;R$ 8,75;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 27;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15881742282;Bowl Winter 540ml Rosa;1;R$ 17,50;R$ 50,00;R$ 8,75;R$ 19,60;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 8,75;Oculto;50%;R$ 8,75;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 28;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;14308095592;Saca Rolhas 3 Em 1 Preto;1;R$ 6,50;R$ 50,00;R$ 3,25;R$ 7,28;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 3,25;Oculto;50%;R$ 3,25;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 29;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15866701398;Travessa Refrataria Oval Porcelana 17cm;1;R$ 13,50;R$ 50,00;R$ 6,75;R$ 15,12;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 6,75;Oculto;50%;R$ 6,75;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24743454237;13632;;04/01/2026;15881938578;CLIENTE OCULTO 30;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;14309047234;Travessa Refratária Quad. Porcelana 15,8CM PCLN-040;1;R$ 12,50;R$ 50,00;R$ 6,25;R$ 14,00;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 6,25;Oculto;50%;R$ 6,25;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 2x;Parcelado;2x;Encomenda;;
24741296239;9452;2,00001E+15;04/01/2026;17876193653;CLIENTE OCULTO 31;;;Nova Guará;Guaratinguetá;;SP;;;R$ 0,00;R$ 160,00;;Atendido;16296345341;Armário Roupeiro Aço 5 Portas Vestiário Locker Cinza C/Chave;1;R$ 509,00;R$ 0,00;R$ 0,00;R$ 570,08;;;R$ 160,00;R$ 0,00;Vendedor oculto 5;;;;06/01/2026;0;0;Loja oculta 4;R$ 0,00;Oculto;100%;R$ 509,00;Roupeiro De Aço;Produto categoria C;;;;Dinheiro;À vista;À vista;Pronta-Entrega;;
24741496681;9453;2,00001E+15;04/01/2026;17876247691;CLIENTE OCULTO 32;;;Centro;Douradina;;PR;;;R$ 0,00;R$ 160,00;;Atendido;16398698075;Porta Cartolina Armário Papelaria 8 Vãos Branco;1;R$ 1.259,00;R$ 0,00;R$ 0,00;R$ 1.410,08;;;R$ 160,00;R$ 0,00;Vendedor oculto 5;;;;16/01/2026;0;0;Loja oculta 4;R$ 0,00;Oculto;100%;R$ 1.259,00;Porta Cartolina;Produto categoria D;;;;Dinheiro;À vista;À vista;Pronta-Entrega;;
24745076279;9454;2,00001E+15;04/01/2026;17877484287;CLIENTE OCULTO 33;;;Morro dos Ingleses;São Paulo;;SP;;;R$ 0,00;R$ 440,00;;Atendido;16558169192;Mapoteca Aço 05 Gavetas Aço Excelente Qualidade Reformada;1;R$ 4.390,00;R$ 0,00;R$ 0,00;R$ 4.916,80;;;R$ 440,00;R$ 0,00;Vendedor oculto 5;;;;08/01/2026;0;0;Loja oculta 4;R$ 0,00;Oculto;100%;R$ 4.390,00;Mapoteca De Aço;Produto categoria C;;;;Dinheiro;À vista;À vista;Pronta-Entrega;;
24749235424;13633;;05/01/2026;17878233244;CLIENTE OCULTO 34;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;14130308760;Prato Fundo Porcelana Terrazo 20,5cm;2;R$ 12,50;R$ 50,00;R$ 6,25;R$ 28,00;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 12,50;Oculto;50%;R$ 12,50;Decoração Geral;Produto categoria F;;;;Cartão de Débito Visa - Safrapay;À vista;À vista;Encomenda;;
24749347051;13634;;05/01/2026;17878257881;CLIENTE OCULTO 35;;;Jardim Bela Vista;Nova Odessa;;SP;;;R$ 0,00;R$ 0,00;;Logística;15059307011;Poltrona Estofada Com Braço Lina Cinza;1;R$ 699,00;R$ 30,10;R$ 450,26;R$ 782,88;;;R$ 0,00;R$ 0,00;Vendedor oculto 10;;;;23/01/2026;0;0;Loja oculta 3;R$ 450,26;Oculto;36%;R$ 248,74;Poltrona Estofada;Produto categoria A;;;;Conta a receber/pagar;Parcelado;À vista;Encomenda;;
24750379875;13635;;05/01/2026;16358693958;CLIENTE OCULTO 36;;;Vila Buarque;São Paulo;;SP;;;R$ 0,00;R$ 100,00;;Logística;16477592071;SOFA Crystal 02 Mod. 1,00 Beta - D465 BR 15 - 2,40m;1;R$ 4.939,05;R$ 5,00;R$ 417,90;R$ 5.531,74;;;R$ 88,37;R$ 0,00;Vendedor oculto 8;;;;16/01/2026;0;0;Loja oculta 3;R$ 417,90;Oculto;92%;R$ 4.521,15;Sofa Crystal;Produto categoria A;2,40;D465;;Pix ;À vista;À vista;Pronta-Entrega;;
24750379875;13635;;05/01/2026;16358693958;CLIENTE OCULTO 37;;;Vila Buarque;São Paulo;;SP;;;R$ 0,00;R$ 100,00;;Logística;16517870498;Impermeabilização;1;R$ 650,00;R$ 35,00;R$ 0,00;R$ 728,00;;;R$ 11,63;R$ 0,00;Vendedor oculto 8;;;;16/01/2026;0;0;Loja oculta 3;R$ 0,00;Oculto;100%;R$ 650,00;Impermeabilização Para Venda;Serviço Categoria A;;;;Pix ;À vista;À vista;Pronta-Entrega;;
